"X","CellId","AltFreq","AltPos","SepBF","Pval1","Pval2","PrMix","PrAve","PrOut","PrSing","WinModels","WinPr","MlpxRate","PrState1","Switch12","Switch21","ProbMlpx","PvalSep","PrBinSep","MinSampSize","Pswitch0_10","Pswitch10_20","Pswitch20_30","Pswitch30_40","Pswitch40_50","Pswitch50_60","Pswitch60_70","Pswitch70_80","Pswitch80_90","Pswitch90_100","Rule_5_5_5","PairId","Site","Alpha_mean","Alpha_Mode1","Alpha_Mode2","Alpha_ModeDen1","Alpha_ModeDen2","MinMax_Median","MinMax_Mode1","MinMax_Mode2","MinMax_ModeDen1","MinMax_ModeDen2","MinMax_Dec1Prob","MinMax_Dec2Prob","MinMax_Dec3Prob","MinMax_Dec4Prob","MinMax_Dec5Prob","MinMax_Dec6Prob","MinMax_Dec7Prob","MinMax_Dec8Prob","MinMax_Dec9Prob","MinMax_Dec10Prob","LS3_Median","LS5_Median","LS8_Median","LS12_Median","LS20_Median","Alpha_bar_median","Alpha_bar_Mode1","Alpha_bar_Mode2","Alpha_bar_ModeDen1","Alpha_bar_ModeDen2","Alpha_bar_Dec1Prob","Alpha_bar_Dec2Prob","Alpha_bar_Dec3Prob","Alpha_bar_Dec4Prob","Alpha_bar_Dec5Prob","Alpha_bar_Dec6Prob","Alpha_bar_Dec7Prob","Alpha_bar_Dec8Prob","Alpha_bar_Dec9Prob","Alpha_bar_Dec10Prob","Switch_0.2Mean","Switch_0.4Mean","Switch_0.6Mean"
1,"YKIC110411Loc_DoubleSound",1100,-6,222.8641,0.6002,0.1608,1,4.98e-31,6.67e-52,1.82e-41,"Mixture",1,0.4,0.72,0.36,0.59,0.24,0,0,21,7,2,2,1,0,1,0,0,3,3,TRUE,NA,1,0.479509001327586,0.531133612100623,0.0242704635696907,1.42684690781614,1.29874204682915,0.521113209584275,0.819732676238882,0.590120733186687,1.07913422547825,1.0556668735061,0.071,0.09644,0.1032,0.10372,0.10224,0.10648,0.104,0.10592,0.10848,0.09852,0.03527772371831,0.0145840231446883,0.00328486387878825,0.00264020276906922,0.450165330979111,0.514904611788138,0.538180907548996,NA,2.1437642016671,NA,0.00736,0.05864,0.093,0.12512,0.1848,0.21172,0.15824,0.11004,0.04796,0.00312,1.27116,0.71568,0.31236
2,"YKIC110411Loc_DoubleSound",903,-6,112.3492,0.6254,0.1577,1,1.55e-23,1.01e-40,6.32e-32,"Mixture",1,0.48,0.6,0.27,0.52,0.46,0,0,19,2,3,3,3,2,4,2,0,4,2,TRUE,NA,1,0.356301362566427,0.118353134871843,0.740737386826788,2.06577270176147,0.645166660589276,0.357180411080377,0.12211614335458,NA,1.55954518106785,NA,0.13584,0.15504,0.1372,0.12268,0.10616,0.09332,0.0814,0.06748,0.05784,0.04304,0.00785329875954218,0.00276719886016187,0.000481415385715635,0.000718531586879526,0.835659783765803,0.312393581061675,0.204116878653995,NA,2.22471963621581,NA,0.05528,0.20648,0.21384,0.186,0.13164,0.08108,0.06356,0.04116,0.01616,0.0048,0.81056,0.37436,0.13896
3,"YKIC080311Loc_DoubleSound",1100,24,64.284,0.2013,0.1463,1,8.04e-14,3.3e-14,1.26e-12,"Mixture",1,0.17,0.8,0.26,0.35,0.08,0,0,9,3,11,0,0,0,0,0,0,0,0,TRUE,NA,NA,0.441403834673985,0.0377072149758184,0.367140372362672,1.5112965562643,1.128318988766,0.437959731915928,0.20786766639151,0.447022047540767,1.26474525735169,1.08823331722992,0.09752,0.12472,0.12324,0.11452,0.10924,0.09716,0.08924,0.08516,0.07944,0.07976,0.0248874833633486,0.00685590347840803,0.000590779900789943,0.000805886618785943,0.694737562463336,0.439500795560151,0.360830187829151,0.656896462193259,1.81345437414102,1.32993740320239,0.03016,0.08208,0.14044,0.17964,0.1628,0.14092,0.13208,0.09532,0.0336,0.00296,1.09464,0.57664,0.2468
4,"YKIC102811_1Loc_DoubleSound",500,6,4.5706,0.1172,0.132,1,2.34e-13,1.76e-15,2.44e-12,"Mixture",1,0.21,0.85,0.2,0.33,0.13,0.05,0.18,7,1,13,4,2,0,0,0,0,0,0,TRUE,NA,1,0.324185600737088,0.104935513744831,2.04325974656301,0.388644640269768,0.137375066887526,NA,1.46502186086109,NA,0.11352,0.14608,0.13224,0.12108,0.1066,0.09536,0.08408,0.07452,0.06936,0.05716,0.0150275365645231,0.00461953184223738,0.000926175340165517,0.00132947678331938,0.684226930968902,0.303548881960549,0.208082403824793,NA,2.59605996601079,NA,0.05204,0.19776,0.24168,0.20444,0.1264,0.07744,0.05008,0.03232,0.01644,0.0014,0.97944,0.47,0.18276,0.324185600737088,0.104935513744831
5,"YKIC140501Loc_DoubleSound",500,24,42.6972,0.1552,0.1171,0.999999999,5.6e-10,5.97e-14,1.68e-11,"Mixture",0.999999999,0.44,0.68,0.21,0.22,0.39,0,0,8,1,0,3,1,1,1,2,1,0,0,TRUE,2,NA,0.429315666351871,0.330794430610305,0.389757042880791,1.58196095512683,1.58025142033188,0.326747285547057,0.0925418125255211,NA,1.81041426252433,NA,0.16412,0.16868,0.13504,0.11356,0.09932,0.08208,0.07228,0.06276,0.05544,0.04672,0.050823897294266,0.0154233135002152,0.00123781301891156,0.000883088933652361,0.371194597086757,0.417115282849738,0.319216265592862,0.566274784834052,2.05199488327116,1.47503852555829,0.01396,0.08512,0.17012,0.20016,0.157,0.14744,0.12104,0.06804,0.0332,0.00392,0.82504,0.3988,0.15252
6,"YKIC140501Loc_DoubleSound",500,6,23.0292,0.1994,0.449,0.999999947,3.56e-08,2.96e-11,1.69e-08,"Mixture",0.999999947,0.29,0.53,0.29,0.31,0.16,0,0,10,1,3,3,1,2,1,0,0,0,0,TRUE,2,NA,0.610008151360072,0.706246680617547,1.73897609454161,0.299584848989449,0.0869903768576419,NA,1.9851369326359,NA,0.17844,0.18092,0.1412,0.11208,0.09504,0.07776,0.06776,0.05824,0.05032,0.03824,0.0325662517532233,0.0118063873405456,0.00120205810869763,0.00119689956467773,0.418612566637329,0.597965442260916,0.59096338833306,0.711773804578405,2.35871293054259,2.21655539756249,0.00284,0.0182,0.048,0.07564,0.14068,0.21948,0.22044,0.20108,0.06636,0.00728,0.75256,0.35704,0.13716,0.610008151360072,0.706246680617547
7,"YKIC140501Loc_DoubleSound",500,24,43.2493,0.1532,0.226,0.999999933,5.82e-08,5.65e-10,8.59e-09,"Mixture",0.999999933,0.24,0.34,0.35,0.32,0.1,0,0,8,2,4,2,1,1,0,0,0,0,0,TRUE,1,NA,0.914685925597424,0.980786933061999,0.407471060464946,8.91610968785328,0.000989922574599875,0.155186669053971,0.038702988500846,NA,3.70860021681781,NA,0.38396,0.19124,0.12032,0.08372,0.06196,0.04616,0.03908,0.03104,0.02556,0.01696,0.0189431804637256,0.00917967765540783,0.00084631632737715,0.00114738807506647,0.618019882989006,0.892325382330836,0.925593364301202,0.459431802797071,7.08173194918572,0.262811948550621,0.00112,0.00756,0.01352,0.02036,0.024,0.0248,0.0304,0.09608,0.3198,0.46236,0.40788,0.16296,0.0548
8,"YKIC140501Loc_DoubleSound",1632,24,9.7524,0.306,0.1177,0.999999774,1.61e-07,3.89e-09,6.11e-08,"Mixture",0.999999774,0.34,0.38,0.3,0.29,0.24,0,0,11,0,3,3,3,4,0,0,0,0,0,TRUE,2,NA,0.496025254620135,0.453188638759367,1.5497873491908,0.337143325783192,0.0915447862044142,NA,1.76268869431609,NA,0.15972,0.1636,0.13368,0.1134,0.09136,0.08464,0.07488,0.06908,0.05896,0.05068,0.0549653376079518,0.0139653987487248,0.00104603873223697,0.00123481900198847,0.380198202283937,0.493454173296417,0.496717286485683,NA,2.08137617253853,NA,0.00192,0.03764,0.11308,0.15744,0.20408,0.19784,0.15824,0.08664,0.03652,0.0066,0.83856,0.41744,0.16456,0.496025254620135,0.453188638759367
9,"YKIC140124Loc_DoubleSound",500,24,22.8664,0.4465,0.2615,0.999999594,4.03e-07,2.01e-10,3.02e-09,"Mixture",0.999999594,0.82,0.22,0.47,0.33,0.97,0,0,10,0,0,0,0,1,0,2,5,10,11,TRUE,2,NA,0.432992507782446,0.386665336153185,1.4674375716228,0.408206609569794,0.22852970566636,NA,1.41533129229843,NA,0.08428,0.13228,0.14176,0.1316,0.117,0.10716,0.0898,0.07852,0.06444,0.05316,0.0203647871471627,0.00774496515972271,0.000560012048813847,0.000851817813257456,0.689842009774989,0.418709305641341,0.401770340824003,NA,2.63776858082189,NA,0.00812,0.05268,0.14452,0.24336,0.24052,0.17244,0.08524,0.03668,0.014,0.00244,1.07164,0.5288,0.20408,0.432992507782446,0.386665336153185
10,"YKIC072611Loc_DoubleSound",500,-6,5.2763,0.2393,0.4316,0.999999293,1.93e-07,3.76e-11,5.13e-07,"Mixture",0.999999293,0.24,0.58,0.29,0.33,0.12,0.03,0.12,5,1,3,1,0,0,0,0,0,0,0,TRUE,NA,NA,0.287385118938073,0.188655874506998,0.159305568754108,2.29639290676235,2.29438626014022,0.365864532139612,0.137397272546219,NA,1.56031089356084,NA,0.12028,0.15452,0.14048,0.12684,0.11052,0.09724,0.08008,0.06908,0.0584,0.04256,0.0336358030840225,0.0117202570891197,0.00126518032620052,0.00116588215211705,0.400226222002085,0.229979206035987,0.185347258522992,0.599339490028345,3.42969599970166,0.367697293515523,0.09084,0.30776,0.2944,0.14492,0.06788,0.03708,0.03048,0.01856,0.00668,0.0014,1.04684,0.44796,0.15004
11,"YKIC072611Loc_DoubleSound",609,-6,18.8861,0.2995,0.4236,0.99999928,5.02e-07,2.95e-09,2.16e-07,"Mixture",0.99999928,0.34,0.63,0.34,0.38,0.23,0,0,5,1,2,2,0,0,1,1,0,0,0,TRUE,NA,NA,0.52461390547419,0.51202131614077,2.23129197862737,0.522460166168839,0.6360983514311,0.282424939693089,1.1508219724262,1.13344967084503,0.049,0.09996,0.11256,0.10632,0.10744,0.10992,0.11484,0.1092,0.10304,0.08772,0.123734063017723,0.0163175469879865,0.00128091051899652,0.00106077160849219,0.238785033712194,0.517035382453457,0.489607874295888,NA,3.37207530261045,NA,0.00044,0.00584,0.02888,0.10556,0.3024,0.29676,0.16068,0.06424,0.03152,0.00368,1.5794,0.88548,0.36752,0.52461390547419,0.51202131614077
12,"YKIC110211Loc_DoubleSound",1100,-24,8.1737,0.1362,0.1256,0.999997358,2.09e-06,2.38e-08,5.25e-07,"Mixture",0.999997358,0.18,0.36,0.31,0.25,0.05,0.02,0.03,10,3,8,0,0,0,0,0,0,0,0,TRUE,NA,NA,0.735463237030562,0.868749653650818,2.53989311178025,0.283487791756131,0.107551482099985,NA,2.08251946454033,NA,0.16772,0.1988,0.158,0.12448,0.098,0.07816,0.05944,0.04912,0.037,0.02928,0.0136254935144025,0.00411469451612607,0.000633618789406568,0.000394442541812877,0.781799081875528,0.794686305816335,0.855265648234667,NA,4.58038597754999,NA,0.00104,0.0054,0.0138,0.02128,0.0316,0.04872,0.1064,0.29316,0.41584,0.06276,0.76272,0.29868,0.0964,0.735463237030562,0.868749653650818
